equipo,puntos,victoria,puntos faborables,rank,goles recibidos,goles favorables,empates,puntos perdidos,partido jugados,derrotas
Port Adelaide,48,12,1356,1,169,195,0,1137,14,2
Collingwood,44,11,1194,2,123,175,0,884,13,2
Melbourne,36,9,1237,3,135,183,0,935,13,4
Brisbane Lions,36,9,1251,4,154,182,0,1046,13,4
St Kilda,32,8,1039,5,130,153,0,919,13,5
Essendon,32,8,1169,6,150,171,0,1057,13,5
Western Bulldogs,32,8,1122,7,159,159,0,1090,14,6
Adelaide,28,7,1238,8,152,182,0,1063,13,6
Richmond,26,6,1131,9,157,163,1,1104,14,7
Geelong,24,6,1260,10,163,187,0,1109,13,7
Greater Western Sydney,24,6,1197,11,175,173,0,1234,14,8
Gold Coast,24,6,1052,12,161,151,0,1111,13,7
Fremantle,24,6,1051,13,163,155,0,1115,13,7
Carlton,22,5,1060,14,155,148,1,1081,14,8
Sydney,20,5,1092,15,163,158,0,1111,13,8
Hawthorn,16,4,964,16,182,138,0,1228,13,9
North Melbourne,8,2,1002,17,211,146,0,1439,14,12
West Coast,4,1,796,18,230,113,0,1548,13,12
